Date,Clicks,Impressions,CTR,Position
2025-05-19,0,0,,
2025-05-20,0,0,,
2025-05-21,0,0,,
2025-05-22,0,0,,
2025-05-23,0,0,,
2025-05-24,5,23,21.74%,10.5
2025-05-25,4,15,26.67%,10.5
2025-05-26,1,13,7.69%,8.6
2025-05-27,5,24,20.83%,4.7
2025-05-28,4,37,10.81%,11
2025-05-29,0,20,0%,14.7
2025-05-30,3,43,6.98%,4.8
2025-05-31,2,17,11.76%,4.5
2025-06-01,2,50,4%,9.2
2025-06-02,4,34,11.76%,9.6
2025-06-03,8,44,18.18%,11.8
2025-06-04,4,36,11.11%,6.8
2025-06-05,4,36,11.11%,12.4
2025-06-06,3,64,4.69%,20.6
2025-06-07,2,40,5%,27.1
2025-06-08,3,44,6.82%,24.8
2025-06-09,7,64,10.94%,13.9
2025-06-10,5,62,8.06%,16.1
2025-06-11,4,74,5.41%,15.9
2025-06-12,4,81,4.94%,13.9
2025-06-13,6,52,11.54%,16.9
2025-06-14,4,52,7.69%,18.5
2025-06-15,4,40,10%,17.9
2025-06-16,3,63,4.76%,16.8
2025-06-17,5,79,6.33%,15.7
2025-06-18,2,56,3.57%,18.7
2025-06-19,4,82,4.88%,16.1
2025-06-20,3,75,4%,19.6
2025-06-21,3,53,5.66%,21.5
2025-06-22,12,69,17.39%,18.4
2025-06-23,14,61,22.95%,9.2
2025-06-24,5,78,6.41%,12.9
2025-06-25,16,104,15.38%,11
2025-06-26,12,80,15%,13.2
2025-06-27,3,94,3.19%,16.5
2025-06-28,6,67,8.96%,17.2
2025-06-29,8,88,9.09%,15.8
2025-06-30,6,104,5.77%,11.4
2025-07-01,4,91,4.4%,14.6
2025-07-02,3,113,2.65%,12.7
2025-07-03,8,149,5.37%,11.5
2025-07-04,5,83,6.02%,17.7
2025-07-05,3,60,5%,14.1
2025-07-06,4,81,4.94%,12.1
2025-07-07,2,111,1.8%,9.3
2025-07-08,12,107,11.21%,13.1
2025-07-09,10,107,9.35%,10.2
2025-07-10,10,114,8.77%,17.6
2025-07-11,12,104,11.54%,10.5
2025-07-12,9,88,10.23%,11.6
2025-07-13,3,79,3.8%,13
2025-07-14,6,118,5.08%,13.3
2025-07-15,5,77,6.49%,11.1
2025-07-16,4,89,4.49%,9.4
2025-07-17,9,76,11.84%,9.2
2025-07-18,4,87,4.6%,9.6
2025-07-19,2,89,2.25%,13.2
2025-07-20,3,69,4.35%,14.5
2025-07-21,5,104,4.81%,16.5
2025-07-22,8,105,7.62%,15.5
2025-07-23,2,101,1.98%,11.6
2025-07-24,6,118,5.08%,10.6
2025-07-25,4,100,4%,11
2025-07-26,7,98,7.14%,15.6
2025-07-27,8,108,7.41%,21.2
2025-07-28,2,98,2.04%,13.5
2025-07-29,8,121,6.61%,11.4
2025-07-30,5,101,4.95%,16.6
2025-07-31,3,97,3.09%,11.2
2025-08-01,3,87,3.45%,14.5
2025-08-02,3,72,4.17%,18.2
2025-08-03,5,83,6.02%,21.7
2025-08-04,3,115,2.61%,15.6
2025-08-05,5,104,4.81%,12.6
2025-08-06,4,95,4.21%,15.9
2025-08-07,8,132,6.06%,13.7
2025-08-08,4,98,4.08%,12.4
2025-08-09,3,98,3.06%,13.4
2025-08-10,4,79,5.06%,16.3
2025-08-11,3,87,3.45%,14
2025-08-12,13,131,9.92%,13.2
2025-08-13,5,75,6.67%,20.1
2025-08-14,9,109,8.26%,13.5
2025-08-15,3,79,3.8%,24.8
2025-08-16,3,82,3.66%,20.3
2025-08-17,2,98,2.04%,19.7
2025-08-18,11,102,10.78%,14.6
2025-08-19,12,93,12.9%,14
2025-08-20,3,127,2.36%,17.4
2025-08-21,6,132,4.55%,21
2025-08-22,3,88,3.41%,21.5
2025-08-23,5,126,3.97%,16.9
2025-08-24,4,134,2.99%,19.5
2025-08-25,12,148,8.11%,14.2
2025-08-26,13,153,8.5%,18.8
2025-08-27,8,129,6.2%,20.1
2025-08-28,10,156,6.41%,31.4
2025-08-29,5,120,4.17%,19.5
2025-08-30,6,125,4.8%,25.9
2025-08-31,3,153,1.96%,20.9
2025-09-01,9,145,6.21%,18.9
2025-09-02,12,155,7.74%,20.7
2025-09-03,9,140,6.43%,18.8
2025-09-04,8,148,5.41%,26.6
2025-09-05,2,120,1.67%,22.3
2025-09-06,7,130,5.38%,21.4
2025-09-07,4,126,3.17%,35.6
2025-09-08,9,122,7.38%,20
2025-09-09,12,131,9.16%,23.1
2025-09-10,8,98,8.16%,20.7
2025-09-11,3,101,2.97%,20.7
2025-09-12,2,91,2.2%,18.1
2025-09-13,7,97,7.22%,5.8
2025-09-14,6,105,5.71%,14
