Top pages,Clicks,Impressions,CTR,Position
https://www.legacy-boxing.com/,1530,24885,6.15%,12.69
https://www.legacy-boxing.com/pages/courses/private-training/,47,3342,1.41%,7.54
https://www.legacy-boxing.com/pages/courses/mma/,43,5673,0.76%,11.71
https://www.legacy-boxing.com/pages/courses/boxing/,37,3644,1.02%,9.47
https://www.legacy-boxing.com/pages/courses/youth-programs/,17,1241,1.37%,7.41
https://www.legacy-boxing.com/pages/contact/,8,2505,0.32%,6.45
https://www.legacy-boxing.com/pages/gallery/,7,2864,0.24%,5.68
https://www.legacy-boxing.com/pages/membership/,7,2587,0.27%,6.29
https://www.legacy-boxing.com/pages/courses/schedule/,7,1182,0.59%,9.49
https://www.legacy-boxing.com/pages/pricing/,6,71,8.45%,5.7
https://www.legacy-boxing.com/pages/courses/,0,180,0%,9.82
http://www.legacy-boxing.com/,0,4,0%,1.75
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_youth-training-session-women-coach.jpg,0,4,0%,18.25
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_gym-training-photo-penn-state-bo-nickal.jpg,0,4,0%,20
https://www.legacy-boxing.com/action-shot.jpg,0,3,0%,30
https://www.legacy-boxing.com/legacy-boxing-logo.webp,0,1,0%,15
https://www.legacy-boxing.com/legacy-boxing-combat-sports-academy_kids-boxing-class-photo.jpg,0,1,0%,20
