Country,Clicks,Impressions,CTR,Position
United States,642,10680,6.01%,11.13
India,4,196,2.04%,15.17
Brazil,4,144,2.78%,14.75
Pakistan,4,105,3.81%,15.98
Sweden,4,62,6.45%,5.23
Belgium,4,40,10%,5.8
Switzerland,3,186,1.61%,6.18
Germany,1,128,0.78%,12.89
Colombia,1,98,1.02%,9.56
France,1,90,1.11%,10.37
South Korea,1,78,1.28%,11.26
Ghana,1,54,1.85%,6.61
Taiwan,1,11,9.09%,10.27
Kuwait,1,5,20%,3.2
Guam,1,4,25%,8
Canada,0,310,0%,13.52
United Kingdom,0,220,0%,13.2
Indonesia,0,136,0%,13.38
South Africa,0,122,0%,8.88
Mexico,0,118,0%,10.79
Philippines,0,82,0%,16.54
Italy,0,78,0%,17.62
Thailand,0,69,0%,13.65
Vietnam,0,66,0%,21.58
Turkey,0,58,0%,17.59
Saudi Arabia,0,51,0%,11.2
Greece,0,45,0%,8.89
Spain,0,43,0%,15.23
Australia,0,42,0%,13.19
Malaysia,0,41,0%,12.05
Egypt,0,39,0%,19.85
Bangladesh,0,38,0%,12.89
New Zealand,0,36,0%,9.31
Ecuador,0,34,0%,14.71
Japan,0,32,0%,11
Nigeria,0,32,0%,11.41
Portugal,0,28,0%,19.86
Israel,0,24,0%,8.79
Netherlands,0,23,0%,10.13
Ukraine,0,23,0%,12.17
Poland,0,21,0%,11.9
Morocco,0,20,0%,17.1
Algeria,0,18,0%,19.11
United Arab Emirates,0,17,0%,8.82
Argentina,0,17,0%,14.41
Puerto Rico,0,16,0%,7.75
Hungary,0,16,0%,11.81
Peru,0,16,0%,17.75
Venezuela,0,15,0%,17.2
Russia,0,14,0%,8.64
Kazakhstan,0,12,0%,12.17
Denmark,0,11,0%,8.18
Ireland,0,11,0%,13.09
Georgia,0,10,0%,6.9
Austria,0,10,0%,9.7
Chile,0,10,0%,10.7
Romania,0,9,0%,11.78
Singapore,0,9,0%,12.33
Serbia,0,8,0%,8.38
Czechia,0,8,0%,9.62
Dominican Republic,0,8,0%,10.75
Norway,0,7,0%,5.86
Nepal,0,7,0%,7.29
Tunisia,0,7,0%,7.29
Albania,0,7,0%,10.43
Jamaica,0,7,0%,12.29
Ethiopia,0,7,0%,13.57
Costa Rica,0,6,0%,15
Kenya,0,6,0%,28
Qatar,0,5,0%,3.8
China,0,5,0%,6.8
Finland,0,5,0%,8.8
Cuba,0,5,0%,10.2
Iraq,0,5,0%,11.2
Honduras,0,5,0%,11.8
Azerbaijan,0,5,0%,12.4
Trinidad & Tobago,0,5,0%,20.6
Namibia,0,4,0%,4.25
Mongolia,0,4,0%,8.25
Lithuania,0,4,0%,9.5
Sri Lanka,0,4,0%,9.75
Palestine,0,4,0%,10
Iran,0,4,0%,11.75
Bulgaria,0,4,0%,12.75
Uzbekistan,0,4,0%,26.25
Hong Kong,0,3,0%,6.67
Unknown Region,0,3,0%,7
Slovenia,0,3,0%,11
Panama,0,3,0%,11.33
Lebanon,0,3,0%,12
Myanmar (Burma),0,3,0%,12
Belize,0,3,0%,12.33
Brunei,0,3,0%,12.33
Uruguay,0,3,0%,19.67
Jordan,0,3,0%,23.33
Oman,0,3,0%,26.33
Samoa,0,2,0%,5
Zimbabwe,0,2,0%,6
Bosnia & Herzegovina,0,2,0%,8
Cambodia,0,2,0%,9.5
Cyprus,0,2,0%,10
Croatia,0,2,0%,10
Burkina Faso,0,2,0%,12
Macedonia,0,2,0%,12
Guatemala,0,2,0%,13
Slovakia,0,2,0%,14
Senegal,0,2,0%,21
Syria,0,2,0%,31.5
Kyrgyzstan,0,1,0%,1
Kosovo,0,1,0%,3
Bermuda,0,1,0%,4
Estonia,0,1,0%,5
Paraguay,0,1,0%,6
Somalia,0,1,0%,7
Bahamas,0,1,0%,9
Botswana,0,1,0%,9
Malta,0,1,0%,9
Guernsey,0,1,0%,10
El Salvador,0,1,0%,10
Turkmenistan,0,1,0%,10
Angola,0,1,0%,11
Bhutan,0,1,0%,11
Niger,0,1,0%,11
South Sudan,0,1,0%,11
Yemen,0,1,0%,11
Cayman Islands,0,1,0%,12
Jersey,0,1,0%,12
Sudan,0,1,0%,13
Madagascar,0,1,0%,17
Bolivia,0,1,0%,18
Montenegro,0,1,0%,19
Seychelles,0,1,0%,19
Latvia,0,1,0%,30
Armenia,0,1,0%,36
Curaçao,0,1,0%,65
